"Dobele, Nokrišnu daudzums starp terminiem, mm",,,,,,,,
Datums \ Laiks,05:00,06:00,08:00,09:00,17:00,18:00,20:00,21:00
21.10.2014,,0.4,,0,,0,,0.3
30.10.2014,,,0.4,,0.9,,,
02.11.2014,0,,0.9,,0.3,,,
07.11.2014,0,,0,,4.7,,6.3,
08.11.2014,2,,,,,,,
10.11.2014,,,,,,,0,
11.11.2014,0.3,,,,0,,,
12.11.2014,,,0.1,,0,,,
15.11.2014,0,,0,,,,,
21.11.2014,2.7,,0.9,,1.8,,,
22.11.2014,,,0.1,,0,,,
25.11.2014,0.2,,0,,0,,,
26.11.2014,0.1,,0,,0,,,
29.11.2014,,,,,0,,,
30.11.2014,0,,,,0,,,
01.12.2014,,,,,0,,0.3,
02.12.2014,0,,0,,,,,
04.12.2014,,,0.3,,0.1,,,
06.12.2014,,,0.3,,0.3,,0.3,
07.12.2014,0.4,,1.5,,,,,
08.12.2014,,,,,0,,0,
09.12.2014,0.1,,,,,,,
10.12.2014,0,,,,,,,
11.12.2014,0,,,,0,,0,
12.12.2014,,,0,,0.3,,,
13.12.2014,4.2,,1.3,,1.2,,1.7,
14.12.2014,0.7,,,,0,,,
16.12.2014,0.5,,0,,0.1,,,
17.12.2014,,,0,,0.1,,0.3,
18.12.2014,0,,,,,,,
19.12.2014,7.5,,0,,0,,,
20.12.2014,0,,0.5,,0.3,,0,
21.12.2014,0.4,,,,1.2,,,
22.12.2014,0.3,,2,,2.2,,0.6,
23.12.2014,,,,,0,,0,
24.12.2014,4.1,,,,0,,0,
25.12.2014,5,,0,,0.6,,0,
26.12.2014,0,,,,,,,
27.12.2014,,,,,0,,,
28.12.2014,0.3,,,,0,,0,
29.12.2014,0.5,,0.3,,0.4,,0,
30.12.2014,,,,,1,,0.9,
31.12.2014,2.1,,2.5,,,,,
